"","row_id","player_id","school","wave","session","date","event_id","event_description","event_category","event_time","event_time_dbl","minigame_level","total_points","total_strikes","missed_safe_invitations","accepted_unsafe_invitations","skill_id","priority_type_2","player_points","opponent_points","old_skill_point","new_skill_point","S5_mean.0","S5_mean.3","S5_mean.6","S5_mean.12","S5_mean.24"
"38",308636,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","21M 46S",1306,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",308637,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","21M 51S",1311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",308638,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","21M 52S",1312,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",308639,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","21M 52S",1312,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",308640,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","21M 54S",1314,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",308641,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","21M 56S",1316,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",308642,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","21M 57S",1317,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",308643,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 1S",1321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",308644,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 6S",1326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",308645,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 10S",1330,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",308646,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","22M 15S",1335,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",308647,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 17S",1337,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",308648,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","22M 17S",1337,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",308649,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","22M 18S",1338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",308650,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 19S",1339,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",308651,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","22M 20S",1340,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",308652,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","22M 20S",1340,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",308653,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 21S",1341,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",308654,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","22M 21S",1341,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",308655,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","22M 21S",1341,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",308656,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 23S",1343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",308657,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","22M 23S",1343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",308658,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","22M 25S",1345,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",308659,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 26S",1346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",308660,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 27S",1347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",308661,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 30S",1350,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",308662,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 33S",1353,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",308663,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 36S",1356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",308664,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","22M 42S",1362,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",308665,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 43S",1363,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",308666,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","22M 43S",1363,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",308667,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","22M 43S",1363,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",308668,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 44S",1364,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",308669,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","22M 44S",1364,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",308670,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","22M 44S",1364,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",308671,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 45S",1365,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",308672,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 46S",1366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",308673,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 51S",1371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",308674,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 51S",1371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",308675,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 56S",1376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",308676,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","22M 57S",1377,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",308677,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","22M 58S",1378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",308678,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","22M 58S",1378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",308679,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","22M 58S",1378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",308680,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","22M 59S",1379,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",308681,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",906,"Ready for Invite button appears","People Sense","22M 59S",1379,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",308682,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",907,"Player hits Ready for Invites Button","People Sense","23M 2S",1382,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",308683,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","23M 2S",1382,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",308684,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","23M 12S",1392,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",308685,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","23M 14S",1394,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",308686,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","23M 19S",1399,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",308687,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","23M 21S",1401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",308688,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","23M 21S",1401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",308689,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","23M 26S",1406,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",308690,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","23M 28S",1408,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",308691,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","23M 28S",1408,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",308692,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","23M 36S",1416,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",308693,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","23M 38S",1418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",308694,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","23M 38S",1418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",308695,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","23M 42S",1422,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",308696,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","23M 43S",1423,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",308697,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","23M 43S",1423,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",308698,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","23M 51S",1431,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",308699,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","23M 54S",1434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",308700,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","23M 54S",1434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",308701,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","24M 0S",1440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",308702,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","24M 3S",1443,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",308703,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","24M 3S",1443,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",308704,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","24M 8S",1448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",308705,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",908,"Invitation appears","People Sense","24M 15S",1455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",308706,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","24M 15S",1455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",308707,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",909,"Player chooses response to invitation","People Sense","24M 25S",1465,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",308708,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",910,"Player hits continue button after seeing invitation results panel","People Sense","24M 27S",1467,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",308709,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",911,"Player hits continue button on final results panel","People Sense","24M 32S",1472,0,37,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",310021,6427031,3561,"3561 YES! Program Fall 2013","Session 2","2013-10-28",900,"Player closes intro panel to start game","People Sense","1H 26M 59S",5219,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",310022,6427031,3561,"3561 YES! Program Fall 2013","Session 2","2013-10-28",901,"Player selects an NPC","People Sense","1H 27M 1S",5221,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",310023,6427031,3561,"3561 YES! Program Fall 2013","Session 2","2013-10-28",902,"Player selects an NPC fact","People Sense","1H 27M 2S",5222,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",310024,6427031,3561,"3561 YES! Program Fall 2013","Session 2","2013-10-28",903,"Player hits Done button on NPC fact","People Sense","1H 27M 5S",5225,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",310025,6427031,3561,"3561 YES! Program Fall 2013","Session 2","2013-10-28",902,"Player selects an NPC fact","People Sense","1H 27M 7S",5227,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",310026,6427031,3561,"3561 YES! Program Fall 2013","Session 2","2013-10-28",903,"Player hits Done button on NPC fact","People Sense","1H 27M 13S",5233,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
